Configuration	Term	J	Level (eV)	Uncertainty (eV)	Leading percentages	Reference
"2p6.13d"	"2D"	"5/2"	"[5.05838688]"	"0.00000025"	"                                                                                              "	""
"2p6.13d"	"2D"	"3/2"	"[5.05838713]"	"0.00000025"	"                                                                                              "	""
"2p6.13f"	"2F*"	"5/2,7/2"	"[5.05855203]"	"0.00000025"	"                                                                                              "	""
"2p6.13g"	"2G"	"7/2,9/2"	"[5.05856654]"	"0.00000025"	"                                                                                              "	""
"2p6.14p"	"2P*"	"1/2"	"[5.06032488]"	"0.00000025"	"                                                                                              "	""
"2p6.14p"	"2P*"	"3/2"	"[5.06033467]"	"0.00000025"	"                                                                                              "	""
"2p6.15s"	"2S"	"1/2"	"[5.06607465]"	"0.00000025"	"                                                                                              "	""
"2p6.14d"	"2D"	"5/2"	"[5.06951372]"	"0.00000025"	"                                                                                              "	""
"2p6.14d"	"2D"	"3/2"	"[5.06951384]"	"0.00000025"	"                                                                                              "	""
"2p6.14f"	"2F*"	"5/2,7/2"	"[5.06964589]"	"0.00000025"	"                                                                                              "	""
"2p6.14g"	"2G"	"7/2,9/2"	"[5.06965754]"	"0.00000025"	"                                                                                              "	""
"2p6.15p"	"2P*"	"1/2"	"[5.07106799]"	"0.00000025"	"                                                                                              "	""
"2p6.15p"	"2P*"	"3/2"	"[5.07107580]"	"0.00000025"	"                                                                                              "	""
"2p6.16s"	"2S"	"1/2"	"[5.07569991]"	"0.00000025"	"                                                                                              "	""
"2p6.15d"	"2D"	"3/2"	"[5.07848832]"	"0.00000025"	"                                                                                              "	""
"2p6.15d"	"2D"	"5/2"	"[5.07848832]"	"0.00000025"	"                                                                                              "	""
"2p6.15f"	"2F*"	"5/2,7/2"	"[5.07859569]"	"0.00000025"	"                                                                                              "	""
"2p6.15g"	"2G"	"7/2,9/2"	"[5.07860523]"	"0.00000025"	"                                                                                              "	""
"2p6.16p"	"2P*"	"1/2"	"[5.07975358]"	"0.00000025"	"                                                                                              "	""
"2p6.16p"	"2P*"	"3/2"	"[5.07976002]"	"0.00000025"	"                                                                                              "	""
"2p6.17s"	"2S"	"1/2"	"[5.08353993]"	"0.00000025"	"                                                                                              "	""
"2p6.16d"	"2D"	"5/2"	"[5.08583178]"	"0.00000025"	"                                                                                              "	""
"2p6.16d"	"2D"	"3/2"	"[5.08583190]"	"0.00000025"	"                                                                                              "	""
"2p6.16f"	"2F*"	"5/2,7/2"	"[5.08592030]"	"0.00000025"	"                                                                                              "	""
"2p6.16g"	"2G"	"7/2,9/2"	"[5.08592811]"	"0.00000025"	"                                                                                              "	""
"2p6.17p"	"2P*"	"1/2"	"[5.08687560]"	"0.00000025"	"                                                                                              "	""
"2p6.17p"	"2P*"	"3/2"	"[5.08688093]"	"0.00000025"	"                                                                                              "	""
"2p6.18s"	"2S"	"1/2"	"[5.09001017]"	"0.00000025"	"                                                                                              "	""
"2p6.17d"	"2D"	"5/2"	"[5.09191680]"	"0.00000025"	"                                                                                              "	""
"2p6.17d"	"2D"	"3/2"	"[5.09191692]"	"0.00000025"	"                                                                                              "	""
"2p6.17f"	"2F*"	"5/2,7/2"	"[5.09199057]"	"0.00000025"	"                                                                                              "	""
"2p6.17g"	"2G"	"7/2,9/2"	"[5.09199714]"	"0.00000025"	"                                                                                              "	""
"2p6.18p"	"2P*"	"1/2"	"[5.09278803]"	"0.00000025"	"                                                                                              "	""
"2p6.18p"	"2P*"	"3/2"	"[5.09279237]"	"0.00000025"	"                                                                                              "	""
"2p6.19s"	"2S"	"1/2"	"[5.09541216]"	"0.00000025"	"                                                                                              "	""
